Property_Name,Address,Prefix,Price,Sql_m2,Property Type,Property ID,Title,Location,Image,Url
WorldBridge Sport Village,"Win Blvd Win, Bak Kaeng, Chroy Changvar, Phnom Penh",For sale,"$62,993",$999/m²,1747,18,1 to 3,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Win Blvd Win'}, 'name': 'Win Blvd Win', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.689690503883618, 'longitude': 104.87842746322178, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Chroy Changvar', 'streetAddress': 'Win Blvd Win'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-09/c5eeceb5-4270-48be-b860-1b2c143f8fb0_woxcaxo_exiparf_u2fpyr7_dajdkql_cjxyoem_1ljuyzq_x4zvtej_FsR3CqC-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/view-3_yimpil9_4anDmlL-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/option-1_v2_ge4opym_ETjNQlC-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/7ea26344-4a73-40e9-89af-28e5dd6bd403_ltd3ya4_iztxipa_gnb6uyo_ggfdtpz_a8htzbw_kreol5l_8HLT2aS-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/worldbridge-sport-village-main-brochure_fa-120321-17-1_6zedrnc_5zv2r9w_fcuzktd_gzukmzk_ouqc537_fvjjb3q_lopnq3l_lss5v6o_gaaw40k_tcigcht_1bbbv7v_26jafka_u0fn29q_nk9uk8g_q5chbju_evvh60i_j9twnu8_sm1xqib_grjuhkw_va3han9_luus07x_vs_WSHueSD-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/new-developments/worldbridge-sport-village/
"3 Bed, 4 Bath Villa for Sale in Svay Dankum","Svay Dankum, Siem Reap, Siem Reap",For sale,"$550,000",,Villa,139189,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35958, 'longitude': 103.84547, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-02/9528-01-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677952_tFzmj6Y-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677963_wGeBY3s-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677972_ienTWVg-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-02/139189-139189_78677981_ehxi0PU-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/svay-dankum/3-bed-4-bath-villa-139189/
"5 Bed, 4 Bath Villa for Sale in Chreav","Chreav, Siem Reap, Siem Reap",For sale,"$296,000",,Villa,196774,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35613, 'longitude': 103.89469, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928057-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928058-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928059-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/196774-196774_99928062_SICPNNn-thumbnail-400x300-70.jpeg', 'https://img.youtube.com/vi/XL18uDmgrKg/0.jpg']",https://www.realestate.com.kh/buy/chreav/5-bed-4-bath-villa-196774/
"4 Bed, 5 Bath Villa for Sale in Svay Dankum","Svay Dankum, Siem Reap, Siem Reap",For sale,"$635,000",,Villa,12263,IPS Cambodia,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35958, 'longitude': 103.84547, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_99558061-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399226-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399229-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399231-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/195868-195868_91399232-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/svay-dankum/4-bed-5-bath-villa-195868/
"4 Bed, 3 Bath Villa for Sale in Svay Dankum","Svay Dankum, Siem Reap, Siem Reap",For sale,"$700,000",,Villa,189972,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.35958, 'longitude': 103.84547, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154202-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154203-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154204-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154206-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-09/189972-189972_97154207-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/svay-dankum/4-bed-3-bath-villa-189972/
House for Sale in Tuek L'ak 2,"Tuek L'ak 2, Toul Kork, Phnom Penh",For sale,"$220,000",,House,198619,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Toul Kork', 'streetAddress': '138z'}, 'name': '138z', 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.564624636297424, 'longitude': 104.8959317035384, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Toul Kork', 'streetAddress': '138z'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-23_11-49-50-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-23_11-49-50-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-23_11-49-51-2-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-23_11-49-51-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/photo_2021-12-23_11-49-51-3-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/tuek-lak-2/138z-198619/
House for Sale in Tuol Sangke,"Tuol Sangke, Russey Keo, Phnom Penh",For sale,"$122,000",,House,198436,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Russey Keo'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.588352564433379, 'longitude': 104.90583137231829, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Russey Keo'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-12/1639987272177-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/1639987272432-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/1639987272294-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/1639987272065-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-12/1639987272364-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/tuol-sangke/house-198436/
"3 Bed, 2 Bath Villa for Sale in Sala Kamraeuk","Dabest Properties, Sala Kamraeuk, Siem Reap, Siem Reap",For sale,"$590,000",$513/m²,Villa,DABEST SRV945,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap', 'streetAddress': 'Dabest Properties'}, 'name': 'Dabest Properties', 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.360620307377928, 'longitude': 103.85925805808381, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap', 'streetAddress': 'Dabest Properties'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-07/untitled-9-of-10_og3jK7a-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-07/untitled-10-of-10_Jor0esL-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-07/untitled-1-of-10_9dfv9fx_HQqDNDT-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-07/untitled-3-of-10_jfzckxv_Ap46CZE-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-07/untitled-8-of-10_1zzfxlg_gwn1kbi-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/sala-kamraeuk/dabest-properties-186178/
"6 Bed, 6 Bath Villa for Sale in Sala Kamraeuk","DABEST PROPERTIES, Sala Kamraeuk, Siem Reap, Siem Reap",For sale,"$550,000",,Villa,DABEST SRV86,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap', 'streetAddress': 'DABEST PROPERTIES'}, 'name': 'DABEST PROPERTIES', 'geo': {'@type': 'GeoCoordinates', 'latitude': 13.362312812924984, 'longitude': 103.85949000209462, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Siem Reap', 'addressLocality': 'Siem Reap', 'streetAddress': 'DABEST PROPERTIES'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a3292-6_kkdfac6-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a3313-9_w0jerpq-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a3329-15_gzzxekg-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a3270-4-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-05/1y3a3274-5_oebasp0-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/sala-kamraeuk/dabest-properties-114460/
"4 Bed, 5 Bath Twin Villa for Sale in Prey Sa","Prey Sa, Dangkao, Phnom Penh",For sale,"$285,000",,Terrace,195309,Hard Title,"{'@context': 'http://schema.org', '@type': 'Residence', 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Dangkao'}, 'geo': {'@type': 'GeoCoordinates', 'latitude': 11.48, 'longitude': 104.9, 'address': {'@type': 'PostalAddress', 'addressRegion': 'Phnom Penh', 'addressLocality': 'Dangkao'}}}","['https://images.realestate.com.kh/__sized__/listings/2021-11/21102607043e9cef-4bedroomforsale-34-1-thumbnail-750x562-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/2110260652c5e4ad-4bedroomforsale-28-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/2110260651292f73-4bedroomforsale-4-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/21102606513a9e70-4bedroomforsale-6-thumbnail-400x300-70.jpeg', 'https://images.realestate.com.kh/__sized__/listings/2021-11/211026065197628a-4bedroomforsale-5-thumbnail-400x300-70.jpeg']",https://www.realestate.com.kh/buy/prey-sa/4-bed-5-bath-twin-villa-195309/
